ID,nrpts,area,density,ecc,center_1,center_2
331,292,0.08857787,3296.534,0.7103921,42.85784,25.45948
333,128,0.04011272,3191.008,0.8936026,25.67793,38.98468
334,188,0.04366709,4305.301,0.7042583,29.03169,23.26614
336,185,0.08255317,2240.98,0.5777154,42.78465,29.16897
338,78,0.03082708,2530.243,0.7502484,31.63418,15.71343
339,185,0.05659149,3269.043,0.8178176,20.46061,40.95106
340,50,0.02076353,2408.068,0.7479773,26.98442,26.49269
341,104,0.04413606,2356.35,0.7272252,34.88891,19.92641
342,218,0.08065706,2702.801,0.9036835,29.81956,38.01599
343,109,0.04478232,2433.996,0.652692,21.83417,32.19313
344,254,0.08651286,2935.98,0.2288485,35.29046,19.42822
346,259,0.09779456,2648.409,0.8182166,29.53995,30.84227
348,98,0.02818783,3476.677,0.516901,38.45347,21.59823
351,52,0.02347651,2214.98,0.6603088,29.13727,20.22335
352,75,0.03068682,2444.046,0.6353843,25.22058,29.06136
353,201,0.05686182,3534.885,0.8460832,19.26438,19.86012
355,123,0.03179115,3869.002,0.3638059,28.21468,32.98952
357,115,0.05118594,2246.711,0.864695,23.60262,30.89667
358,93,0.03046856,3052.327,0.8461327,17.46083,21.10735
359,89,0.03140912,2833.572,0.3661302,30.52029,23.35862
361,362,0.1157213,3128.207,0.2450281,23.16439,40.66579
364,202,0.09126092,2213.434,0.5160533,27.97249,37.41964
367,94,0.02428481,3870.732,0.613002,30.33241,27.01112
368,105,0.04548407,2308.501,0.3278751,33.58111,17.17693
369,59,0.01865383,3162.89,0.228692,20.86409,25.6066
370,56,0.01997822,2803.053,0.7464633,26.71417,29.90742
371,90,0.04871013,1847.665,0.6013902,34.12525,26.46416
372,123,0.03248687,3786.145,0.6497357,37.47363,25.51701
374,60,0.02088971,2872.228,0.7442639,26.27894,37.07796
376,183,0.06185594,2958.487,0.8717796,16.88475,23.43857
377,246,0.06548752,3756.441,0.6960492,29.14126,34.73714
378,62,0.0151622,4089.118,0.7553924,40.23695,20.76995
381,53,0.02459816,2154.632,0.6463135,25.68377,29.78156
382,166,0.08004308,2073.883,0.3816459,27.59133,14.85586
383,177,0.05364726,3299.329,0.6737913,21.19928,26.32052
384,79,0.03493637,2261.254,0.6798367,37.28808,25.18455
386,242,0.07761216,3118.068,0.7392539,34.61399,31.20952
387,299,0.07883368,3792.795,0.888621,32.43446,20.42881
388,164,0.05016603,3269.145,0.7617678,34.0483,18.76159
389,80,0.02604839,3071.207,0.5927524,22.39249,36.64108
390,141,0.0470803,2994.883,0.7390261,20.44353,22.31076
391,87,0.03808451,2284.393,0.7957828,38.11619,21.06157
393,70,0.02169896,3225.962,0.7165015,34.41127,25.69765
396,122,0.05944341,2052.372,0.8113821,38.58249,24.53084
